Title,Year,Type,Start Time,Midnight Scene,Tags,Notes
When Harry Met Sally,1989,Movie,10:30:27,Harry declares his love; midnight kiss to Auld Lang Syne,"Romance, New Year's",
Forrest Gump,1994,Movie,10:38:55,Forrest and Lt. Dan ring in the New Year together,"Drama, New Year's",
Ghostbusters II,1989,Movie,10:21:00,Statue of Liberty arrives / Happy New Year!,"Comedy, New Year's",
The Great Gatsby,2013,Movie,11:29:57,Gatsby raises his champagne glass,"Romance, Drama",
Wicked,2024,Movie,9:29:41,Defying Gravity climax,Musical,
Rocky,1976,Movie,10:30:42,Rocky reaches the top of the stairs,Inspirational,
The Godfather Part II,1974,Movie,10:22:30,Michael kisses Fredo at the New Year's party,"Drama, Dark, New Year's",Estimated timing
Ocean's Eleven,2001,Movie,10:32:30,Bellagio fountains finale,"Action, Comedy",Estimated timing
V for Vendetta,2005,Movie,9:57:04,Old Bailey explodes to the 1812 Overture,Action,
Fight Club,1999,Movie,10:35:00,Buildings collapse as Pixies play,Dark,
Avengers: Endgame,2019,Movie,9:29:30,Tony Stark snaps,Action,
Avengers: Endgame,2019,Movie,9:41:34,Captain America yells AVENGERS ASSEMBLE!,Action,Timed for assemble at midnight
Avengers: Infinity War,2018,Movie,9:48:54,Thanos snaps,"Action, Dark",
Harry Potter and the Deathly Hallows: Part 2,2011,Movie,10:10:05,Harry vs Voldemort final battle,Fantasy,
Die Hard,1988,Movie,9:56:47,Hans Gruber begins falling from Nakatomi Plaza,Action,
Die Hard,1988,Movie,9:56:27,Hans Gruber hits the ground,Action,Syncs with ball drop
Star Wars: A New Hope,1977,Movie,10:02:42,Death Star explodes,"Sci-Fi, Action",Blu-ray version
Star Wars: A New Hope,1977,Movie,10:02:43,Death Star explodes,"Sci-Fi, Action",Digital version
Star Wars: A New Hope,1977,Movie,10:02:48,Death Star explodes,"Sci-Fi, Action",DVD Special Edition
The Poseidon Adventure,1972,Movie,NEEDS_TIMING,Ship capsizes,"Action, Dark",REVIEW - disaster scene
Strange Days,1995,Movie,NEEDS_TIMING,Y2K chaos and climax,"Sci-Fi, New Year's",REVIEW - needs timing
The Apartment,1960,Movie,10:55:00,Fran returns to Baxter,Romance,Estimated
Trading Places,1983,Movie,NEEDS_TIMING,Duke brothers ruined,Comedy,REVIEW - needs timing
Boogie Nights,1997,Movie,NEEDS_TIMING,Fireworks and chaos,Drama,REVIEW - needs timing
Titanic,1997,Movie,11:40:00,Ship strikes the iceberg,"Romance, Dark",Disaster - optional
Back to the Future,1985,Movie,10:04:00,Lightning strike sends Marty home,Sci-Fi,
Back to the Future,1985,Movie,10:19:07,DeLorean hits 88mph sending Marty back,Sci-Fi,
The Lord of the Rings: Return of the King,2003,Movie,9:15:00,Mount Doom climax,Fantasy,Extended - very early start
The Matrix,1999,Movie,9:50:45,Neo flies / becomes The One,Sci-Fi,
The Matrix,1999,Movie,10:30:00,Neo fully becomes The One,Sci-Fi,Estimated
Jurassic Park,1993,Movie,10:04:00,T-Rex roars as banner falls,Action,
La La Land,2016,Movie,11:06:00,Epilogue fantasy sequence,Romance,
Casablanca,1942,Movie,10:55:00,Rick lets Ilsa go,Romance,Estimated
The Dark Knight,2008,Movie,10:15:00,Joker's final confrontation,"Action, Dark",Estimated
Independence Day,1996,Movie,10:00:00,Alien ships explode,Action,Estimated
Iron Man,2008,Movie,10:02:00,I am Iron Man,Action,
Mean Girls,2004,Movie,10:45:00,Spring Fling resolution,Comedy,Estimated
Clueless,1995,Movie,10:50:00,Cher and Josh get together,Comedy,Estimated
